freq,psd_x,psd_y,psd_z,psd_xyz
170.8,1.653e+02,5.112e+01,8.349e+01,2.999e+02
172.4,1.269e+02,4.482e+01,7.892e+01,2.506e+02
174.0,8.446e+01,4.306e+01,7.656e+01,2.041e+02
175.6,5.827e+01,4.040e+01,7.888e+01,1.775e+02
177.2,4.693e+01,4.018e+01,7.849e+01,1.656e+02
178.8,3.947e+01,3.894e+01,7.906e+01,1.575e+02
180.4,3.454e+01,3.836e+01,7.827e+01,1.512e+02
182.0,3.258e+01,3.838e+01,7.507e+01,1.460e+02
183.6,3.035e+01,3.597e+01,7.408e+01,1.404e+02
185.2,3.156e+01,3.708e+01,7.324e+01,1.419e+02
186.8,3.347e+01,3.532e+01,7.378e+01,1.426e+02
188.4,3.456e+01,3.166e+01,7.334e+01,1.396e+02
190.0,3.052e+01,3.258e+01,6.774e+01,1.308e+02
191.6,2.862e+01,3.075e+01,6.757e+01,1.269e+02
193.2,2.849e+01,3.179e+01,6.889e+01,1.292e+02
194.8,2.975e+01,3.464e+01,6.769e+01,1.321e+02
196.4,2.904e+01,3.585e+01,7.292e+01,1.378e+02
198.0,3.118e+01,3.505e+01,7.446e+01,1.407e+02
199.6,3.196e+01,3.339e+01,7.495e+01,1.403e+02
