freq,psd_x,psd_y,psd_z,psd_xyz
174.2,3.057e+03,1.090e+03,5.351e+03,9.498e+03
175.8,2.112e+03,8.121e+02,3.662e+03,6.586e+03
177.4,1.500e+03,6.126e+02,2.570e+03,4.682e+03
179.0,1.125e+03,5.482e+02,2.073e+03,3.747e+03
180.6,8.017e+02,4.500e+02,1.478e+03,2.730e+03
182.2,7.489e+02,4.440e+02,1.362e+03,2.555e+03
183.8,8.037e+02,4.882e+02,1.437e+03,2.729e+03
185.4,7.789e+02,4.883e+02,1.382e+03,2.649e+03
187.0,7.073e+02,5.053e+02,1.268e+03,2.480e+03
188.6,6.392e+02,4.810e+02,1.160e+03,2.280e+03
190.2,5.796e+02,4.267e+02,1.014e+03,2.020e+03
191.8,5.489e+02,3.937e+02,9.198e+02,1.862e+03
193.4,5.216e+02,3.992e+02,9.031e+02,1.824e+03
195.0,5.246e+02,3.994e+02,9.043e+02,1.828e+03
196.6,4.929e+02,3.327e+02,8.573e+02,1.683e+03
198.1,4.715e+02,2.760e+02,7.864e+02,1.534e+03
199.7,3.857e+02,2.713e+02,6.563e+02,1.313e+03
